source_anime_id,source_title,source_genre,recommended_anime_id,recommended_title,recommended_title_display,recommended_genre,recommended_studio,recommended_year,recommended_community_score,recommended_review_count,recommended_positive_ratio,recommended_avg_sentiment,recommended_avg_review_score,recommendation_score,rank
19,MONSTER,Drama,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
19,MONSTER,Drama,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
19,MONSTER,Drama,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
19,MONSTER,Drama,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,4
19,MONSTER,Drama,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,5
19,MONSTER,Drama,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,6
19,MONSTER,Drama,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,7
19,MONSTER,Drama,125367,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Comedy,A-1 Pictures,2022,89.0,5,0.6,0.7341,95.0,0.716,8
19,MONSTER,Drama,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,9
19,MONSTER,Drama,161645,Kusuriya no Hitorigoto,The Apothecary Diaries,Drama,OLM,2023,88.0,5,0.6,0.7431,60.6,0.712,10
263,Hajime no Ippo: THE FIGHTING!,Comedy,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
263,Hajime no Ippo: THE FIGHTING!,Comedy,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
263,Hajime no Ippo: THE FIGHTING!,Comedy,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
263,Hajime no Ippo: THE FIGHTING!,Comedy,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,4
263,Hajime no Ippo: THE FIGHTING!,Comedy,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,5
263,Hajime no Ippo: THE FIGHTING!,Comedy,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,6
263,Hajime no Ippo: THE FIGHTING!,Comedy,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,7
263,Hajime no Ippo: THE FIGHTING!,Comedy,125367,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Comedy,A-1 Pictures,2022,89.0,5,0.6,0.7341,95.0,0.716,8
263,Hajime no Ippo: THE FIGHTING!,Comedy,820,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,Drama,Kitty Film,1988,88.0,5,0.6,0.8392,96.4,0.712,9
263,Hajime no Ippo: THE FIGHTING!,Comedy,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,10
820,Ginga Eiyuu Densetsu,Drama,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
820,Ginga Eiyuu Densetsu,Drama,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
820,Ginga Eiyuu Densetsu,Drama,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
820,Ginga Eiyuu Densetsu,Drama,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,4
820,Ginga Eiyuu Densetsu,Drama,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,5
820,Ginga Eiyuu Densetsu,Drama,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,6
820,Ginga Eiyuu Densetsu,Drama,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,7
820,Ginga Eiyuu Densetsu,Drama,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,8
820,Ginga Eiyuu Densetsu,Drama,161645,Kusuriya no Hitorigoto,The Apothecary Diaries,Drama,OLM,2023,88.0,5,0.6,0.7431,60.6,0.712,9
820,Ginga Eiyuu Densetsu,Drama,4181,CLANNAD: After Story,Clannad: After Story,Drama,Kyoto Animation,2008,87.0,5,0.6,0.5872,92.8,0.708,10
2904,Code Geass: Hangyaku no Lelouch R2,Action,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
2904,Code Geass: Hangyaku no Lelouch R2,Action,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
2904,Code Geass: Hangyaku no Lelouch R2,Action,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
2904,Code Geass: Hangyaku no Lelouch R2,Action,182896,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,Action,bones film,2025,87.0,5,0.8,0.7265,93.8,0.828,4
2904,Code Geass: Hangyaku no Lelouch R2,Action,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,5
2904,Code Geass: Hangyaku no Lelouch R2,Action,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,6
2904,Code Geass: Hangyaku no Lelouch R2,Action,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,7
2904,Code Geass: Hangyaku no Lelouch R2,Action,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,8
2904,Code Geass: Hangyaku no Lelouch R2,Action,161645,Kusuriya no Hitorigoto,The Apothecary Diaries,Drama,OLM,2023,88.0,5,0.6,0.7431,60.6,0.712,9
2904,Code Geass: Hangyaku no Lelouch R2,Action,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,10
2921,Ashita no Joe 2,Action,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
2921,Ashita no Joe 2,Action,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
2921,Ashita no Joe 2,Action,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
2921,Ashita no Joe 2,Action,182896,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,Action,bones film,2025,87.0,5,0.8,0.7265,93.8,0.828,4
2921,Ashita no Joe 2,Action,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,5
2921,Ashita no Joe 2,Action,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,6
2921,Ashita no Joe 2,Action,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,7
2921,Ashita no Joe 2,Action,125367,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Comedy,A-1 Pictures,2022,89.0,5,0.6,0.7341,95.0,0.716,8
2921,Ashita no Joe 2,Action,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,9
2921,Ashita no Joe 2,Action,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,10
4181,CLANNAD: After Story,Drama,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
4181,CLANNAD: After Story,Drama,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
4181,CLANNAD: After Story,Drama,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
4181,CLANNAD: After Story,Drama,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,4
4181,CLANNAD: After Story,Drama,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,5
4181,CLANNAD: After Story,Drama,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,6
4181,CLANNAD: After Story,Drama,125367,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Comedy,A-1 Pictures,2022,89.0,5,0.6,0.7341,95.0,0.716,7
4181,CLANNAD: After Story,Drama,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,8
4181,CLANNAD: After Story,Drama,820,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,Drama,Kitty Film,1988,88.0,5,0.6,0.8392,96.4,0.712,9
4181,CLANNAD: After Story,Drama,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,10
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,182896,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,Action,bones film,2025,87.0,5,0.8,0.7265,93.8,0.828,4
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,5
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,6
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,7
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,8
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,9
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action,161645,Kusuriya no Hitorigoto,The Apothecary Diaries,Drama,OLM,2023,88.0,5,0.6,0.7431,60.6,0.712,10
9253,Steins;Gate,Drama,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
9253,Steins;Gate,Drama,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
9253,Steins;Gate,Drama,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
9253,Steins;Gate,Drama,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,4
9253,Steins;Gate,Drama,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,5
9253,Steins;Gate,Drama,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,6
9253,Steins;Gate,Drama,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,7
9253,Steins;Gate,Drama,125367,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Comedy,A-1 Pictures,2022,89.0,5,0.6,0.7341,95.0,0.716,8
9253,Steins;Gate,Drama,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,9
9253,Steins;Gate,Drama,820,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,Drama,Kitty Film,1988,88.0,5,0.6,0.8392,96.4,0.712,10
9969,Gintama',Action,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
9969,Gintama',Action,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
9969,Gintama',Action,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
9969,Gintama',Action,182896,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,Action,bones film,2025,87.0,5,0.8,0.7265,93.8,0.828,4
9969,Gintama',Action,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,5
9969,Gintama',Action,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,6
9969,Gintama',Action,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,7
9969,Gintama',Action,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,8
9969,Gintama',Action,125367,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Comedy,A-1 Pictures,2022,89.0,5,0.6,0.7341,95.0,0.716,9
9969,Gintama',Action,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,10
11061,HUNTER×HUNTER (2011),Action,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,1
11061,HUNTER×HUNTER (2011),Action,182896,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,Action,bones film,2025,87.0,5,0.8,0.7265,93.8,0.828,2
11061,HUNTER×HUNTER (2011),Action,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,3
11061,HUNTER×HUNTER (2011),Action,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,4
11061,HUNTER×HUNTER (2011),Action,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,5
11061,HUNTER×HUNTER (2011),Action,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,6
11061,HUNTER×HUNTER (2011),Action,182469,ONE PIECE FAN LETTER,ONE PIECE FAN LETTER,Action,Toei Animation,2024,90.0,2,0.5,0.8487,98.5,0.66,7
11061,HUNTER×HUNTER (2011),Action,9969,Gintama',Gintama Season 2,Action,Sunrise,2011,89.0,2,0.5,0.6388,84.0,0.656,8
11061,HUNTER×HUNTER (2011),Action,5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,Action,bones,2009,90.0,5,0.4,0.7638,95.4,0.6,9
11061,HUNTER×HUNTER (2011),Action,15417,Gintama': Enchousen,Gintama Season 2 Part 2,Action,Sunrise,2012,89.0,5,0.4,0.7366,90.6,0.596,10
15417,Gintama': Enchousen,Action,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
15417,Gintama': Enchousen,Action,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
15417,Gintama': Enchousen,Action,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
15417,Gintama': Enchousen,Action,182896,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,Action,bones film,2025,87.0,5,0.8,0.7265,93.8,0.828,4
15417,Gintama': Enchousen,Action,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,5
15417,Gintama': Enchousen,Action,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,6
15417,Gintama': Enchousen,Action,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,7
15417,Gintama': Enchousen,Action,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,8
15417,Gintama': Enchousen,Action,125367,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Comedy,A-1 Pictures,2022,89.0,5,0.6,0.7341,95.0,0.716,9
15417,Gintama': Enchousen,Action,820,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,Drama,Kitty Film,1988,88.0,5,0.6,0.8392,96.4,0.712,10
17074,Monogatari Series: Second Season,Comedy,172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,CygamesPictures,2024,87.0,4,1.0,0.8943,89.5,0.948,1
17074,Monogatari Series: Second Season,Comedy,21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,Production I.G,2016,87.0,2,1.0,0.9219,87.5,0.948,2
17074,Monogatari Series: Second Season,Comedy,154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,MADHOUSE,2023,91.0,5,0.8,0.665,92.0,0.844,3
17074,Monogatari Series: Second Season,Comedy,114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,Bandai Namco Pictures,2021,91.0,5,0.6,0.6654,99.4,0.724,4
17074,Monogatari Series: Second Season,Comedy,20996,Gintama°,Gintama Season 3,Action,Bandai Namco Pictures,2015,90.0,5,0.6,0.7406,95.4,0.72,5
17074,Monogatari Series: Second Season,Comedy,171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,MAPPA,2025,90.0,5,0.6,0.6898,98.8,0.72,6
17074,Monogatari Series: Second Season,Comedy,124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,TMS Entertainment,2021,89.0,5,0.6,0.8566,88.0,0.716,7
17074,Monogatari Series: Second Season,Comedy,125367,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Comedy,A-1 Pictures,2022,89.0,5,0.6,0.7341,95.0,0.716,8
17074,Monogatari Series: Second Season,Comedy,136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,MAPPA,2023,88.0,5,0.6,0.7726,96.0,0.712,9
